odour,dilution,2a,7a,9a,10a,19a,22a,23a,33b,35a,43a,43b,47a,47b,49b,59b,65a,67a,67c,82a,85a,85b,85f,88a,98a
ethyl acetate,-2,-3,6,37,6,7,53,2,10,18,8,132,86,-7,15,177,0,43,29,17,65,18,12,5,23
pentyl acetate,-2,35,-4,85,-1,130,158,20,-12,191,12,89,241,-24,8,65,34,216,17,21,30,190,35,9,191
ethyl butyrate,-2,12,1,121,29,73,193,15,37,121,22,199,74,-16,-3,39,-8,167,112,27,125,102,26,-9,81
methyl salicylate,-2,5,-6,13,258,1,-2,-1,-7,2,20,12,-6,6,48,-4,-13,35,-2,-5,2,-8,5,-7,8
1-hexanol,-2,40,96,102,10,146,63,51,1,237,133,73,58,-35,31,35,7,173,109,58,137,183,64,16,158
1-octen-3-ol,-2,27,9,54,-6,149,121,19,-17,141,100,44,90,-30,15,15,16,164,24,34,40,180,31,-16,197
E2-hexenal,-2,17,221,38,-8,58,49,45,-8,227,41,84,37,18,6,3,-2,117,47,-6,11,145,35,-8,28
"2,3-butanedione",-2,3,13,60,22,35,48,15,11,13,11,69,25,7,6,97,8,84,42,20,40,71,14,11,34
2-heptanone,-2,39,-2,106,17,131,111,25,0,119,42,71,209,-10,21,25,35,170,36,32,33,190,40,19,189
geranyl acetate,-2,2,1,-5,-8,9,1,4,0,-3,-10,10,-2,-1,-4,37,-7,7,-3,241,-1,-2,-2,1,81
ethyl acetate,-4,-4,10,19,9,-6,18,-5,15,-3,-9,11,18,-13,-4,55,-1,-6,1,12,6,14,12,-4,0
pentyl acetate,-4,5,3,10,-6,-4,109,2,-14,47,-4,25,220,-11,1,3,8,74,-4,-3,-1,150,15,0,41
ethyl butyrate,-4,-4,2,14,-1,-6,152,-5,14,-2,-2,56,17,-9,1,0,-1,30,6,10,42,12,1,0,3
methyl salicylate,-4,-5,-6,-1,220,-2,7,-2,-3,9,-5,2,3,-4,1,0,-3,-3,-1,3,6,0,-4,-3,-1
1-hexanol,-4,1,5,6,-5,-6,15,0,-3,264,-4,18,12,-4,-2,2,-1,8,3,6,15,105,1,-5,17
1-octen-3-ol,-4,5,0,1,-4,-1,32,-2,-4,11,-3,4,20,-3,-7,0,2,9,-4,4,8,63,-2,-3,56
E2-hexenal,-4,-1,251,0,-4,2,1,0,-3,19,1,3,4,-3,1,2,-1,8,1,2,-1,-1,3,-4,3
"2,3-butanedione",-4,-1,2,5,1,-9,5,-5,11,0,-7,4,6,-4,-7,26,0,-7,1,9,0,34,0,-2,4
2-heptanone,-4,35,9,28,-8,-3,46,15,-25,38,14,29,78,-8,13,24,24,36,8,6,3,204,22,24,79
geranyl acetate,-4,-3,7,-1,-7,6,-1,-1,0,-2,-3,2,0,-2,0,0,0,-1,-3,35,3,-2,-2,0,19
ethyl acetate,-6,-1,14,1,-2,4,2,0,0,-3,6,3,3,0,0,0,0,7,3,-7,5,2,-3,6,2
pentyl acetate,-6,-4,10,2,1,3,13,1,1,3,10,1,89,3,0,1,0,6,-2,-10,-2,2,0,5,-6
ethyl butyrate,-6,0,9,0,-1,3,22,3,1,-4,11,9,0,2,-4,0,2,-7,2,-5,3,-1,-5,2,3
methyl salicylate,-6,-1,8,0,84,1,3,-3,1,0,13,3,-1,4,2,1,2,7,4,-9,2,3,-3,1,-7
1-hexanol,-6,-4,8,2,2,0,1,-2,-2,220,8,-1,-2,-1,4,1,1,-3,1,-6,-1,1,0,4,1
1-octen-3-ol,-6,0,10,0,-5,-2,5,4,2,-14,4,1,-2,2,0,2,5,5,3,-4,4,1,-3,3,-5
E2-hexenal,-6,4,204,0,3,-5,10,-4,6,-7,6,3,-3,5,-2,1,1,0,-6,-5,2,-5,-1,5,-2
"2,3-butanedione",-6,3,2,1,3,-2,6,5,6,-2,7,6,-1,4,2,0,1,-2,3,-3,3,2,-6,6,-4
2-heptanone,-6,2,-4,15,14,-2,25,6,-22,8,12,29,26,5,3,9,-4,-4,5,-2,5,156,19,15,-6
geranyl acetate,-6,0,4,0,-8,2,7,-1,2,-8,12,1,-2,3,1,-2,4,-2,5,-11,-2,2,-1,-1,0
ethyl acetate,-8,4,-5,-4,6,14,-3,-4,1,-1,7,3,10,1,0,2,0,0,-4,-5,-1,-4,3,-2,-5
pentyl acetate,-8,5,-9,-4,-4,7,0,-4,-2,2,6,0,13,2,-1,2,2,-2,-3,-1,4,-4,0,0,-8
ethyl butyrate,-8,-2,-10,-4,5,5,0,-6,4,3,9,-1,3,1,-1,1,1,3,-6,-6,4,-8,2,0,-2
methyl salicylate,-8,1,-12,-2,5,5,0,-7,-1,8,3,0,4,-3,-4,0,-1,1,-5,2,0,-14,4,-3,-10
1-hexanol,-8,-1,-10,-3,3,2,-2,-7,5,30,2,0,-2,2,-3,4,1,-1,-5,-7,-2,-10,2,1,-5
1-octen-3-ol,-8,9,-8,-5,2,4,0,-13,1,8,5,-3,3,0,-2,-1,5,0,-5,-2,2,-5,3,2,-7
E2-hexenal,-8,6,23,-3,-1,3,-1,0,2,4,1,2,0,2,-1,-5,3,1,4,-8,1,-8,-2,8,-10
"2,3-butanedione",-8,2,-12,-3,-3,0,-1,2,5,0,0,8,-1,2,-3,-1,3,-2,-7,-8,7,-3,1,4,-8
2-heptanone,-8,11,-7,0,0,1,0,-6,3,10,2,1,-2,2,2,4,1,-2,2,-10,4,17,6,1,-9
geranyl acetate,-8,2,-5,-3,3,5,-3,-9,-2,-2,-4,3,2,3,-3,2,3,2,1,-6,-2,-3,3,3,-2
apple pure,,40,210,126,28,73,248,68,6,130,76,158,250,-13,20,165,15,198,158,40,87,203,112,49,135
apricot pure,,10,165,71,5,56,139,30,-3,40,47,48,115,-16,16,146,5,94,78,28,26,55,70,34,42
banana pure,,55,203,255,117,126,245,77,10,89,112,247,238,-26,26,158,26,209,213,28,80,213,97,19,175
cherry pure,,5,206,42,43,47,130,25,-8,83,68,51,94,-15,91,65,9,170,83,26,25,23,68,9,4
mango pure,,15,143,75,49,104,243,39,-2,60,51,95,108,-10,12,106,9,151,90,28,162,94,67,21,98
peach pure,,16,159,84,1,47,161,27,-5,78,52,49,106,-13,26,135,7,108,76,31,24,31,60,8,20
pineapple pure,,13,136,133,30,38,234,27,-3,51,59,82,144,-6,14,151,9,125,84,29,85,92,67,7,23
raspberry pure,,19,181,109,42,63,234,57,-3,78,44,59,114,-23,24,140,13,119,97,42,30,195,80,-6,98
strawberry pure,,35,197,157,116,47,237,67,-3,90,51,126,183,-19,27,172,18,171,149,27,123,196,77,-9,32
apple,-2,9,183,32,20,26,138,22,10,182,15,45,122,-19,2,42,22,181,30,26,51,169,6,0,62
apricot,-2,-4,38,2,-2,-7,20,-5,-6,4,4,-2,15,-11,4,30,3,58,3,-1,11,8,-4,-4,1
banana,-2,31,200,58,19,22,118,23,-5,109,23,88,119,-16,3,44,18,198,100,12,48,164,14,10,33
cherry,-2,-1,109,0,19,-4,17,2,-1,63,2,2,9,-2,8,6,1,119,5,7,3,-5,-4,3,-7
mango,-2,6,25,3,15,16,105,0,-4,29,0,10,16,-17,5,9,2,101,5,9,53,32,-5,-4,21
peach,-2,-2,39,2,4,1,35,0,-4,42,1,2,15,-11,7,29,4,48,2,11,1,7,1,-2,-8
pineapple,-2,-2,16,14,11,-2,100,5,0,10,6,-1,22,-7,4,27,1,85,4,5,18,21,-3,-1,-6
raspberry,-2,6,128,8,27,1,80,-1,-2,71,-3,3,28,-10,7,24,5,69,8,14,14,136,-2,-4,33
strawberry,-2,18,168,23,45,9,139,2,-3,102,0,7,50,-6,3,28,13,126,26,7,50,162,-1,5,7
apple,-4,3,123,7,12,-5,38,1,4,82,6,-4,26,-5,5,2,8,6,1,6,2,22,11,-14,9
apricot,-4,7,7,1,-3,-5,1,4,-4,-2,8,-4,0,-3,7,1,-2,-1,1,-2,5,-1,0,-11,3
banana,-4,19,101,22,16,-2,17,8,-4,16,18,17,30,-9,4,8,21,20,10,0,3,91,16,8,14
cherry,-4,4,2,0,-9,-7,0,-1,7,0,4,1,1,-7,8,-1,-2,-12,4,-2,0,-8,2,-2,0
mango,-4,4,4,1,-3,-5,21,0,1,-2,8,0,4,-1,3,-1,3,-13,5,2,-8,-9,3,-3,0
peach,-4,1,0,2,-7,0,-1,4,-5,5,4,-4,2,-4,9,5,4,-10,4,8,2,-9,2,2,-2
pineapple,-4,2,3,5,-3,-3,21,-5,-2,-3,3,-4,5,-1,7,0,8,-13,4,-3,-9,-2,0,2,-5
raspberry,-4,14,4,2,-5,-4,10,-2,2,2,6,0,6,1,7,-1,3,-11,2,3,-5,7,4,4,-2
strawberry,-4,17,11,2,2,0,64,-1,-1,15,-5,-2,7,-4,8,-1,10,-1,3,8,5,18,3,1,-2
apple,-6,-1,10,3,8,-7,7,1,-8,17,4,1,10,-12,5,0,0,8,-5,-8,-6,-3,-1,-4,4
apricot,-6,-2,6,-1,-3,-5,-2,1,-6,8,13,-1,6,-10,1,-1,-2,6,-7,-2,-1,-6,-5,-7,-2
banana,-6,-3,10,1,1,-6,1,0,-4,4,12,-3,7,-8,3,-1,-5,-4,-2,-2,-6,-6,-6,-1,0
cherry,-6,-4,7,4,3,-3,2,2,-2,1,12,5,7,-7,6,1,-6,-5,-6,6,-4,-2,-4,-4,-6
mango,-6,-5,6,1,3,-7,4,2,-6,3,3,5,12,-6,6,1,-4,3,-12,-2,0,-5,-7,-1,-5
peach,-6,0,0,0,9,-7,0,1,-8,6,5,0,13,1,-3,0,-1,-2,-6,-9,-1,-3,-6,1,-5
pineapple,-6,-5,1,-1,4,0,1,3,-2,1,12,5,5,-8,3,3,0,10,-3,-8,-3,-3,-6,-5,-6
raspberry,-6,3,1,1,10,-7,-1,-3,-5,3,8,-3,3,-19,2,-2,-1,5,-1,-2,1,-6,-1,-3,-2
strawberry,-6,-3,-4,2,6,1,5,0,-3,2,1,7,4,-8,2,3,-1,-1,-2,-5,-1,-7,-6,-6,-3